    n                h'                l'                k'
         91 -0.2940837298E+01  0.9981812616E-02 -0.1589516941E-01
         92 -0.2946581895E+01  0.9885278606E-02 -0.1573023130E-01
         93 -0.2952291867E+01  0.9790389616E-02 -0.1556873269E-01
         94 -0.2957956745E+01  0.9697045242E-02 -0.1541044330E-01
         95 -0.2963595800E+01  0.9605295471E-02 -0.1525547679E-01
         96 -0.2969199273E+01  0.9515044421E-02 -0.1510360946E-01
         97 -0.2974774535E+01  0.9426263454E-02 -0.1495481225E-01
         98 -0.2980309676E+01  0.9339024495E-02 -0.1480889454E-01
         99 -0.2985825474E+01  0.9253105835E-02 -0.1466595311E-01
        100 -0.2991305419E+01  0.9168619236E-02 -0.1452571686E-01
        101 -0.2996767007E+01  0.9085438653E-02 -0.1438831722E-01
        102 -0.3002195783E+01  0.9003626988E-02 -0.1425347945E-01
        103 -0.3007604564E+01  0.8923047633E-02 -0.1412128824E-01
        104 -0.3012984157E+01  0.8843812851E-02 -0.1399155215E-01
        105 -0.3018343894E+01  0.8765768968E-02 -0.1386430043E-01
        106 -0.3023674123E+01  0.8689007513E-02 -0.1373934843E-01
        107 -0.3028997579E+01  0.8613282789E-02 -0.1361688839E-01
        108 -0.3034293829E+01  0.8538785067E-02 -0.1349661710E-01
        109 -0.3039568388E+01  0.8465425369E-02 -0.1337853240E-01
        110 -0.3044812729E+01  0.8393465670E-02 -0.1326247718E-01
        111 -0.3050063440E+01  0.8322064664E-02 -0.1314879330E-01
        112 -0.3055283667E+01  0.8251895569E-02 -0.1303701417E-01
        113 -0.3060491252E+01  0.8182851929E-02 -0.1292727472E-01
        114 -0.3065650295E+01  0.8115341266E-02 -0.1281916571E-01
        115 -0.3070880579E+01  0.8047182787E-02 -0.1271382547E-01
        116 -0.3076040892E+01  0.7981631513E-02 -0.1260977308E-01
        117 -0.3081197000E+01  0.7915680288E-02 -0.1250759345E-01
        118 -0.3086285673E+01  0.7852329446E-02 -0.1240674925E-01
        119 -0.3091404255E+01  0.7789102228E-02 -0.1230801326E-01
        120 -0.3096511619E+01  0.7726732297E-02 -0.1221098060E-01
        121 -0.3101600203E+01  0.7665280093E-02 -0.1211553143E-01
        122 -0.3106682865E+01  0.7604662047E-02 -0.1202174850E-01
        123 -0.3111753765E+01  0.7544904284E-02 -0.1192953483E-01
        124 -0.3116809189E+01  0.7485973847E-02 -0.1183881620E-01
        125 -0.3121858886E+01  0.7427878706E-02 -0.1174964381E-01
        126 -0.3126895783E+01  0.7370574826E-02 -0.1166191548E-01
        127 -0.3131922545E+01  0.7314066668E-02 -0.1157561754E-01
        128 -0.3136941665E+01  0.7258329636E-02 -0.1149074009E-01
        129 -0.3141951224E+01  0.7203345486E-02 -0.1140723078E-01
        130 -0.3146951844E+01  0.7149110122E-02 -0.1132506059E-01
        131 -0.3151945365E+01  0.7095590143E-02 -0.1124421586E-01
        132 -0.3156929548E+01  0.7042799916E-02 -0.1116464409E-01
        133 -0.3161906220E+01  0.6990691191E-02 -0.1108633131E-01
        134 -0.3166876242E+01  0.6939313182E-02 -0.1100925433E-01
        135 -0.3171838402E+01  0.6888590561E-02 -0.1093337652E-01
        136 -0.3176793912E+01  0.6838540252E-02 -0.1085867851E-01
        137 -0.3181742344E+01  0.6789149943E-02 -0.1078513058E-01
        138 -0.3186685982E+01  0.6740388091E-02 -0.1071272691E-01
        139 -0.3191619989E+01  0.6692254528E-02 -0.1064139970E-01
        140 -0.3196544437E+01  0.6644875809E-02 -0.1057112430E-01
        141 -0.3201476214E+01  0.6597887682E-02 -0.1050201662E-01
        142 -0.3206398870E+01  0.6551604887E-02 -0.1043391751E-01
        143 -0.3211309725E+01  0.6505913745E-02 -0.1036678606E-01
        144 -0.3216218750E+01  0.6460809494E-02 -0.1030067613E-01
        145 -0.3221143963E+01  0.6416316706E-02 -0.1023570018E-01
        146 -0.3226024232E+01  0.6372280030E-02 -0.1017138463E-01
        147 -0.3230916458E+01  0.6328854781E-02 -0.1010813017E-01
        148 -0.3235804118E+01  0.6286015002E-02 -0.1004579449E-01
        149 -0.3240693304E+01  0.6243639100E-02 -0.9984403322E-02
        150 -0.3245576769E+01  0.6201804166E-02 -0.9923883848E-02
        151 -0.3250456711E+01  0.6160485124E-02 -0.9864233698E-02
        152 -0.3255331682E+01  0.6119694668E-02 -0.9805424689E-02
        153 -0.3260200616E+01  0.6079393541E-02 -0.9747433126E-02
        154 -0.3265069874E+01  0.6039596447E-02 -0.9690286199E-02
        155 -0.3269935973E+01  0.6000268215E-02 -0.9633943355E-02
        156 -0.3274795133E+01  0.5961436691E-02 -0.9578361861E-02
        157 -0.3279668562E+01  0.5922949893E-02 -0.9523670962E-02
        158 -0.3284508407E+01  0.5885167524E-02 -0.9469529341E-02
        159 -0.3289361302E+01  0.5847694801E-02 -0.9416241123E-02
        160 -0.3294211798E+01  0.5810694237E-02 -0.9363684387E-02
        161 -0.3299058952E+01  0.5774133783E-02 -0.9311839490E-02
        162 -0.3303903943E+01  0.5737996158E-02 -0.9260700972E-02
        163 -0.3308745720E+01  0.5702310818E-02 -0.9210247322E-02
        164 -0.3313584370E+01  0.5667037519E-02 -0.9160467092E-02
        165 -0.3318424376E+01  0.5632157110E-02 -0.9111375894E-02
        166 -0.3323259296E+01  0.5597703357E-02 -0.9062920009E-02
        167 -0.3328090856E+01  0.5563674794E-02 -0.9015097800E-02
        168 -0.3332922705E+01  0.5529997717E-02 -0.8967921813E-02
        169 -0.3337752050E+01  0.5496747568E-02 -0.8921360800E-02
        170 -0.3342578431E+01  0.5463880770E-02 -0.8875401310E-02
        171 -0.3347403567E+01  0.5431401056E-02 -0.8830042576E-02
        172 -0.3352228803E+01  0.5399255218E-02 -0.8785283289E-02
        173 -0.3357021121E+01  0.5367680574E-02 -0.8740911973E-02
        174 -0.3361858334E+01  0.5336193177E-02 -0.8697389405E-02
        175 -0.3366694030E+01  0.5305066478E-02 -0.8654423348E-02
        176 -0.3371498666E+01  0.5274448806E-02 -0.8611828227E-02
        177 -0.3376322954E+01  0.5244080025E-02 -0.8569895530E-02
        178 -0.3381137085E+01  0.5214092671E-02 -0.8528440623E-02
        179 -0.3385947775E+01  0.5184463783E-02 -0.8487493679E-02
        180 -0.3390753240E+01  0.5155167635E-02 -0.8447036357E-02
        181 -0.3395573503E+01  0.5126151371E-02 -0.8407173110E-02
        182 -0.3400390427E+01  0.5097567236E-02 -0.8367788512E-02
        183 -0.3405186656E+01  0.5069168013E-02 -0.8328785918E-02
        184 -0.3409992078E+01  0.5041151085E-02 -0.8290316948E-02
        185 -0.3414794593E+01  0.5013449158E-02 -0.8252308574E-02
        186 -0.3419596810E+01  0.4986061074E-02 -0.8214766228E-02
        187 -0.3424402966E+01  0.4958944921E-02 -0.8177706372E-02
        188 -0.3429178049E+01  0.4932255738E-02 -0.8140930592E-02
        189 -0.3434030152E+01  0.4905525915E-02 -0.8105017792E-02
        190 -0.3438803522E+01  0.4879424950E-02 -0.8069117051E-02
        191 -0.3443599295E+01  0.4853504563E-02 -0.8033768763E-02
        192 -0.3448400621E+01  0.4827850364E-02 -0.7998873555E-02
        193 -0.3453193371E+01  0.4802499627E-02 -0.7964350502E-02
        194 -0.3457996489E+01  0.4777387473E-02 -0.7930292161E-02
        195 -0.3462783491E+01  0.4752589109E-02 -0.7896553991E-02
        196 -0.3467578192E+01  0.4728037553E-02 -0.7863253104E-02
        197 -0.3472368309E+01  0.4703753066E-02 -0.7830320213E-02
        198 -0.3477159673E+01  0.4679737258E-02 -0.7797778322E-02
        199 -0.3481948945E+01  0.4655978963E-02 -0.7765604941E-02
        200 -0.3486737069E+01  0.4632476035E-02 -0.7733798913E-02
        201 -0.3491523710E+01  0.4609223671E-02 -0.7702352898E-02
        202 -0.3496325561E+01  0.4586168509E-02 -0.7671343993E-02
        203 -0.3501090649E+01  0.4563468017E-02 -0.7640509350E-02
        204 -0.3505886079E+01  0.4540924402E-02 -0.7610174524E-02
        205 -0.3510653343E+01  0.4518692194E-02 -0.7580047630E-02
        206 -0.3515451384E+01  0.4496600898E-02 -0.7550410749E-02
        207 -0.3520234826E+01  0.4474786300E-02 -0.7521037447E-02
        208 -0.3525043456E+01  0.4453119274E-02 -0.7492114524E-02
        209 -0.3529793812E+01  0.4431852975E-02 -0.7463237845E-02
        210 -0.3534580557E+01  0.4410705099E-02 -0.7434854348E-02
        211 -0.3539352751E+01  0.4389809311E-02 -0.7406718033E-02
        212 -0.3544151639E+01  0.4369057932E-02 -0.7379017475E-02
        213 -0.3548912160E+01  0.4348626408E-02 -0.7351443768E-02
        214 -0.3553689257E+01  0.4328358416E-02 -0.7324248918E-02
        215 -0.3558462798E+01  0.4308312710E-02 -0.7297334667E-02
        216 -0.3563235313E+01  0.4288471776E-02 -0.7270708897E-02
        217 -0.3568007088E+01  0.4268837229E-02 -0.7244368486E-02
        218 -0.3572788803E+01  0.4249371957E-02 -0.7218357590E-02
        219 -0.3577548245E+01  0.4230165468E-02 -0.7192526754E-02
        220 -0.3582327155E+01  0.4211101745E-02 -0.7167059487E-02
        221 -0.3587098828E+01  0.4192254560E-02 -0.7141832337E-02
        222 -0.3591860686E+01  0.4173619427E-02 -0.7116830705E-02
        223 -0.3596613736E+01  0.4155190491E-02 -0.7092055787E-02
        224 -0.3601389236E+01  0.4136896823E-02 -0.7067640409E-02
        225 -0.3606156090E+01  0.4118809198E-02 -0.7043444381E-02
        226 -0.3610914947E+01  0.4100914252E-02 -0.7019467987E-02
        227 -0.3615674293E+01  0.4083206845E-02 -0.6995744051E-02
        228 -0.3620445412E+01  0.4065643269E-02 -0.6972317930E-02
        229 -0.3625202181E+01  0.4048291210E-02 -0.6949074095E-02
        230 -0.3629960255E+01  0.4031110753E-02 -0.6926075852E-02
        231 -0.3634716809E+01  0.4014102800E-02 -0.6903308278E-02
        232 -0.3639472188E+01  0.3997264662E-02 -0.6880770027E-02
        233 -0.3644224683E+01  0.3980597932E-02 -0.6858450668E-02
        234 -0.3648994097E+01  0.3964064403E-02 -0.6836428660E-02
        235 -0.3653729916E+01  0.3947754284E-02 -0.6814492956E-02
        236 -0.3658485399E+01  0.3931570281E-02 -0.6792859707E-02
        237 -0.3663236264E+01  0.3915553799E-02 -0.6771426158E-02
        238 -0.3667982722E+01  0.3899704944E-02 -0.6750190524E-02
        239 -0.3672735947E+01  0.3883996639E-02 -0.6729195270E-02
        240 -0.3677481090E+01  0.3868458232E-02 -0.6708377550E-02
        241 -0.3682221285E+01  0.3853073890E-02 -0.6687747832E-02
        242 -0.3686960168E+01  0.3837846005E-02 -0.6667317499E-02
        243 -0.3691701490E+01  0.3822759076E-02 -0.6647099115E-02
        244 -0.3696443538E+01  0.3807821568E-02 -0.6627083008E-02
        245 -0.3701189230E+01  0.3793023488E-02 -0.6607278018E-02
        246 -0.3705923691E+01  0.3778382626E-02 -0.6587623975E-02
        247 -0.3710656265E+01  0.3763887524E-02 -0.6568154486E-02
        248 -0.3715387199E+01  0.3749534192E-02 -0.6548868437E-02
        249 -0.3720203424E+01  0.3735207384E-02 -0.6530094683E-02
        250 -0.3724862429E+01  0.3721222056E-02 -0.6510906231E-02
        251 -0.3729615623E+01  0.3707252737E-02 -0.6492258241E-02
        252 -0.3734317454E+01  0.3693477646E-02 -0.6473597123E-02
        253 -0.3739034743E+01  0.3679816360E-02 -0.6455172559E-02
        254 -0.3743755693E+01  0.3666279642E-02 -0.6436937796E-02
        255 -0.3748489097E+01  0.3652862413E-02 -0.6418922511E-02
        256 -0.3753208603E+01  0.3639584100E-02 -0.6401027486E-02
        257 -0.3757924811E+01  0.3626435799E-02 -0.6383289857E-02
        258 -0.3762639425E+01  0.3613414700E-02 -0.6365713774E-02
        259 -0.3767364878E+01  0.3600506763E-02 -0.6348342260E-02
        260 -0.3772076487E+01  0.3587734341E-02 -0.6331083868E-02
        261 -0.3776785905E+01  0.3575086174E-02 -0.6313979026E-02
        262 -0.3781494711E+01  0.3562556283E-02 -0.6297031570E-02
